rank,finalWorth,category,personName,age,country,source,industries,selfMade,gender,gross_tertiary_education_enrollment,life_expectancy_country,gdp_country,population_country
1434,2100,Food & Beverage,Shu Ping,53.0,Singapore,Restaurants,Food,True,F,84.8,83.1,"$372,062,527,489 ",5703569.0
1434,2100,Healthcare,Timothy Springer,75.0,United States,Biotech,Healthcare,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1434,2100,Automotive,Venu Srinivasan,70.0,India,Two-wheelers,Automotive,False,M,28.1,69.4,"$2,611,000,000,000 ",1366417754.0
1434,2100,Fashion & Retail,Edward Stack,68.0,United States,Dick's Sporting Goods,Fashion,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1434,2100,Food & Beverage,Sun Mengquan & family,73.0,China,Edible oil,Food,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1434,2100,Finance & Investments,Alexander Svetakov,55.0,Russian Federation,Real estate,Finance,True,M,81.9,72.7,"$1,699,876,578,871 ",144373535.0
1434,2100,Fashion & Retail,Torsten Toeller,56.0,Germany,Pet food,Fashion,True,M,70.2,80.9,"$3,845,630,030,824 ",83132799.0
1434,2100,Food & Beverage,Barbara Tyson,74.0,United States,Food processing,Food,False,F,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1434,2100,Food & Beverage,Hamdi Ulukaya,50.0,United States,Greek yogurt,Food,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1434,2100,Construction & Engineering,Wang Linpeng,54.0,China,Furniture retailing,Construction,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1434,2100,Food & Beverage,Wei Ing-Chou,69.0,China,"Food, beverages",Food,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1434,2100,Food & Beverage,Wei Yin-Heng,64.0,China,"Food, beverages",Food,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1434,2100,Gambling & Casinos,Elaine Wynn,80.0,United States,"Casinos, hotels",Gambling,True,F,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1434,2100,Automotive,Xu Xudong & family,53.0,China,Auto parts,Automotive,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
